 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   3.417213499947759E-003
 Friction Mach number =   8.291730685127277E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   204.807471832453     
 Redelta  =   10215.9741742214     
 Retheta  =   873.357807955901     
 Redelta2 =   556.942311262552     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.267926153980111     
 theta/delta99 =   8.548942989301017E-002
 H             =    3.13402667809833     
 Hinc          =    1.54444660343047     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+

      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      1.0000000      2.1774512      0.0000760      0.0209588      0.0000000      0.9148656     -0.5849704      4.2064763     -2.0333989      0.2408396      0.0000000      0.3933392
      0.0029446      0.6030836      0.6035505      0.6036285      0.2366354      0.0064168      0.1413206     -0.0004807      1.0002583      2.1682320      0.2137019      0.0196772      0.6740987      0.9148656     -0.5849704      4.2064763     -2.0333989      0.2209365      0.0208225      0.3909267
      0.0058908      1.2064885      1.2071912      1.2076406      0.4710304      0.0168702      0.2637804     -0.0027154      1.0009726      2.1701639      0.4557350      0.0186250      1.1873660      0.9354902     -0.8967381      4.2190164      6.4441612      0.1878912      0.0417192      0.3890403
      0.0088402      1.8105358      1.8102901      1.8116718      0.7033434      0.0321539      0.3684601     -0.0081519      1.0021188      2.1629413      0.7082608      0.0180238      1.8080917      0.9403951     -1.1880489      4.1735560      7.3023071      0.1621217      0.0625970      0.3875784
      0.0117942      2.4155474      2.4111887      2.4143204      0.9320201      0.0518754      0.4583423     -0.0183132      1.0037060      2.1682599      0.9916633      0.0183229      2.3981360      0.9245128     -1.4114425      4.0495726      7.8188483      0.1418466      0.0831718      0.3838854
      0.0147546      3.0218455      3.0072646      3.0132038      1.1540056      0.0744174      0.5355717     -0.0341425      1.0057141      2.1663452      1.3165574      0.0195207      2.9668443      0.8878664     -1.5440967      3.8565637      7.9170730      0.1277644      0.1030557      0.3767734
      0.0177228      3.6297528      3.5951634      3.6051756      1.3655214      0.0993234      0.6023185     -0.0561716      1.0081421      2.1755647      1.6832912      0.0218926      3.5016880      0.8334957     -1.5922461      3.6207821      7.6482724      0.1201856      0.1218452      0.3663596
      0.0207004      4.2395933      4.1711410      4.1866514      1.5628761      0.1254677      0.6601568     -0.0840691      1.0109494      2.1784587      2.0847148      0.0251730      3.9903115      0.7661007     -1.5768955      3.3713237      7.1456267      0.1185144      0.1392002      0.3537491
      0.0236890      4.8516916      4.7314300      4.7539623      1.7430286      0.1527398      0.7107186     -0.1172178      1.0141161      2.1910629      2.5098780      0.0293406      4.4222877      0.6905365     -1.5203802      3.1312132      6.5442932      0.1213170      0.1548800      0.3404602
      0.0266903      5.4663738      5.2725709      5.3036792      1.9039443      0.1803868      0.7551359     -0.1543780      1.0175796      2.1978875      2.9465413      0.0340220      4.7903083      0.6110439     -1.4406503      2.9149883      5.9373741      0.1269062      0.1687559      0.3278803
      0.0297058      6.0839672      5.7916531      5.8328539      2.0446142      0.2084948      0.7945703     -0.1944313      1.0213062      2.2130899      3.3832143      0.0391563      5.0907114      0.5308631     -1.3500697      2.7296196      5.3755201      0.1338681      0.1807968      0.3169439
      0.0327371      6.7048008      6.2864605      6.3391724      2.1649912      0.2365371      0.8297675     -0.2359546      1.0252213      2.2229188      3.8099611      0.0444352      5.3233278      0.4522643     -1.2564916      2.5767423      4.8800153      0.1412195      0.1910505      0.3080333
      0.0357858      7.3292051      6.7555101      6.8210061      2.2657449      0.2646813      0.8614999     -0.2779543      1.0292896      2.2399406      4.2189621      0.0498424      5.4910327      0.3766989     -1.1645002      2.4548590      4.4549947      0.1483689      0.1996183      0.3010743
      0.0388536      7.9575127      7.1980365      7.2774115      2.3480962      0.2925298      0.8902150     -0.3192865      1.0334365      2.2519440      4.6044036      0.0551439      5.5989455      0.3050007     -1.0765978      2.3608623      4.0960875      0.1549897      0.2066363      0.2957071
      0.0419421      8.5900582      7.6138999      7.7080530      2.4135685      0.3202649      0.9163985     -0.3593578      1.0376353      2.2700658      4.9624188      0.0603667      5.6536606      0.2375719     -0.9939550      2.2911010      3.7954678      0.1609394      0.2122567      0.2914693
      0.0450529      9.2271785      8.0034953      8.1131261      2.4638754      0.3475651      0.9402993     -0.3974288      1.0418198      2.2834712      5.2907192      0.0653336      5.6625579      0.1745223     -0.9169952      2.2419033      3.5446513      0.1661739      0.2166365      0.2879189
      0.0481878      9.8692129      8.3676259      8.4932414      2.5007515      0.3745971      0.9622202     -0.4333058      1.0459772      2.3019936      5.5883813      0.0701040      5.6331081      0.1157897     -0.8456991      2.2099307      3.3356857      0.1707195      0.2199281      0.2846939
      0.0513482     10.5165033      8.7073990      8.8493287      2.5259107      0.4010907      0.9823022     -0.4665867      1.0500527      2.3160575      5.8554706      0.0745431      5.5725299      0.0612011     -0.7798344      2.1922260      3.1616510      0.1746242      0.2222747      0.2815382
      0.0545361     11.1693945      9.0241222      9.1825375      2.5409469      0.4271893      1.0007503     -0.4973587      1.0540482      2.3343125      6.0928371      0.0787317      5.4874086      0.0105354     -0.7190418      2.1862701      3.0167026      0.1779508      0.2238065      0.2782885
      0.0577529     11.8282342      9.3192207      9.4941567      2.5473401      0.4526641      1.0176614     -0.5254357      1.0579197      2.3483460      6.3018268      0.0825652      5.3835597     -0.0364606     -0.6629158      2.1898997      2.8959281      0.1807470      0.2246395      0.2748587
      0.0610006     12.4933732      9.5941679      9.7855461      2.5464033      0.4776380      1.0331896     -0.5510588      1.0616819      2.3657400      6.4841535      0.0861363      5.2660005     -0.0800350     -0.6110343      2.2013119      2.7952605      0.1830630      0.2248757      0.2712178
      0.0642807     13.1651657      9.8504393     10.0580882      2.5393136      0.5019209      1.0474102     -0.5741571      1.0652993      2.3791568      6.6417229      0.0893613      5.1389686     -0.1204357     -0.5630058      2.2189842      2.7113648      0.1849390      0.2246034      0.2673752
      0.0675950     13.8439696     10.0894730     10.3131487      2.5270858      0.5256205      1.0604395     -0.5950349      1.0687963      2.3952189      6.7765649      0.0923376      5.0059534     -0.1578904     -0.5184792      2.2416684      2.6415721      0.1864235      0.2238983      0.2633596
      0.0709454     14.5301464     10.3126485     10.5520513      2.5106128      0.5485808      1.0723354     -0.6136752      1.0721436      2.4075670      6.8907196      0.0949969      4.8698350     -0.1926214     -0.4771543      2.2683179      2.5837561      0.1875574      0.2228255      0.2592120
      0.0743335     15.2240614     10.5212711     10.7760615      2.4906519      0.5708969      1.0831865     -0.6303941      1.0753720      2.4219633      6.9861974      0.0974354      4.7329264     -0.2248301     -0.4387618      2.2980762      2.5361834      0.1883865      0.2214402      0.2549722
      0.0777612     15.9260843     10.7165635     10.9863745      2.4678641      0.5924422      1.0930427     -0.6451956      1.0784560      2.4329262      7.0649115      0.0995955      4.5970476     -0.2547080     -0.4030555      2.3302194      2.4973915      0.1889444      0.2197897      0.2506776
      0.0812304     16.6365890     10.8996611     11.1841096      2.4428054      0.6133014      1.1019777     -0.6583790      1.0814302      2.4454491      7.1286714      0.1015682      4.4635700     -0.2824217     -0.3698007      2.3641489      2.4660909      0.1892637      0.2179145      0.2463551
      0.0847428     17.3559537     11.0716105     11.3703050      2.4159607      0.6333735      1.1100398     -0.6699523      1.0842712      2.4548229      7.1791526      0.1033033      4.3335101     -0.3081225     -0.3387791      2.3993515      2.4411507      0.1893672      0.2158497      0.2420251
      0.0883003     18.0845617     11.2333717     11.5459200      2.3877357      0.6527347      1.1172909     -0.6801842      1.0870155      2.4653597      7.2179023      0.1048843      4.2075888     -0.3319330     -0.3097877      2.4353948      2.4215676      0.1892833      0.2136259      0.2377014
      0.0919049     18.8228009     11.3858205     11.7118343      2.3584824      0.6713052      1.1237763     -0.6890789      1.0896401      2.4730276      7.2463261      0.1062665      4.0862276     -0.3539562     -0.2826457      2.4719079      2.4064785      0.1890343      0.2112700      0.2333926
      0.0955584     19.5710645     11.5297516     11.8688504      2.3284919      0.6891537      1.1295489     -0.6968690      1.0921822      2.4815426      7.2657021      0.1075255      3.9696618     -0.3742711     -0.2572039      2.5085867      2.3951520      0.1886449      0.2088053      0.2291063
      0.0992627     20.3297511     11.6658857     12.0176994      2.2980137      0.7062170      1.1346552     -0.7035526      1.0946186      2.4874564      7.2771726      0.1086208      3.8580510     -0.3929475     -0.2333504      2.5451811      2.3870106      0.1881352      0.2062519      0.2248580
      0.1030200     21.0992646     11.7948769     12.1590483      2.2672514      0.7225558      1.1391476     -0.7093264      1.0969860      2.4939639      7.2817464      0.1096197      3.7514194     -0.4100439     -0.2110015      2.5814770      2.3816085      0.1875222      0.2036270      0.2206597
      0.1068321     21.8800150     11.9173170     12.2935026      2.2363794      0.7381195      1.1430804     -0.7141827      1.0992613      2.4981130      7.2802949      0.1104852      3.6497749     -0.4256090     -0.1900870      2.6172644      2.3785959      0.1868102      0.2009463      0.2165179
